country,country_population,region,region_population
Algeria,44357000,NORTHERN AFRICA,244344000
Egypt,100803000,NORTHERN AFRICA,244344000
Libya,6891000,NORTHERN AFRICA,244344000
Morocco,35952000,NORTHERN AFRICA,244344000
Sudan,43849000,NORTHERN AFRICA,244344000
Tunisia,11896000,NORTHERN AFRICA,244344000
Western Sahara,597000,NORTHERN AFRICA,244344000
Benin,12209000,WESTERN AFRICA,401115000
Burkina Faso,20903000,WESTERN AFRICA,401115000
Cape Verde,556000,WESTERN AFRICA,401115000
Cote d'Ivoire,26175000,WESTERN AFRICA,401115000
Gambia,2417000,WESTERN AFRICA,401115000
Ghana,31073000,WESTERN AFRICA,401115000
Guinea,12560000,WESTERN AFRICA,401115000
Guinea-Bissau,1927000,WESTERN AFRICA,401115000
Liberia,5058000,WESTERN AFRICA,401115000
Mali,20251000,WESTERN AFRICA,401115000
Mauritania,4650000,WESTERN AFRICA,401115000
Niger,24189000,WESTERN AFRICA,401115000
Nigeria,206140000,WESTERN AFRICA,401115000
Senegal,16744000,WESTERN AFRICA,401115000
Sierra Leone,7977000,WESTERN AFRICA,401115000
Togo,8279000,WESTERN AFRICA,401115000
Burundi,11866000,EASTERN AFRICA,444970000
Comoros,870000,EASTERN AFRICA,444970000
Djibouti,988000,EASTERN AFRICA,444970000
Eritrea,3546000,EASTERN AFRICA,444970000
Ethiopia,114916000,EASTERN AFRICA,444970000
Kenya,53528000,EASTERN AFRICA,444970000
Madagascar,27691000,EASTERN AFRICA,444970000
Malawi,19130000,EASTERN AFRICA,444970000
Mauritius,1265000,EASTERN AFRICA,444970000
Mayotte,284000,EASTERN AFRICA,444970000
Mozambique,31166000,EASTERN AFRICA,444970000
Reunion,861000,EASTERN AFRICA,444970000
Rwanda,12952000,EASTERN AFRICA,444970000
Seychelles,98000,EASTERN AFRICA,444970000
Somalia,15893000,EASTERN AFRICA,444970000
South Sudan,11194000,EASTERN AFRICA,444970000
Tanzania,59734000,EASTERN AFRICA,444970000
Uganda,45741000,EASTERN AFRICA,444970000
Zambia,18384000,EASTERN AFRICA,444970000
Zimbabwe,14863000,EASTERN AFRICA,444970000
Angola,32522000,MIDDLE AFRICA,179757000
Cameroon,26598000,MIDDLE AFRICA,179757000
Central African Republic,4830000,MIDDLE AFRICA,179757000
Chad,16877000,MIDDLE AFRICA,179757000
Congo,5518000,MIDDLE AFRICA,179757000
"Congo, Dem. Rep.",89568000,MIDDLE AFRICA,179757000
Equatorial Guinea,1403000,MIDDLE AFRICA,179757000
Gabon,2231000,MIDDLE AFRICA,179757000
Sao Tome and Principe,210000,MIDDLE AFRICA,179757000
Botswana,2317000,SOUTHERN AFRICA,67732000
eSwatini,1104000,SOUTHERN AFRICA,67732000
Lesotho,2142000,SOUTHERN AFRICA,67732000
Namibia,2541000,SOUTHERN AFRICA,67732000
South Africa,59628000,SOUTHERN AFRICA,67732000
Canada,38190000,NORTHERN AMERICA,368193000
United States,329878000,NORTHERN AMERICA,368193000
Belize,419000,CENTRAL AMERICA,178611000
Costa Rica,5111000,CENTRAL AMERICA,178611000
El Salvador,6481000,CENTRAL AMERICA,178611000
Guatemala,18066000,CENTRAL AMERICA,178611000
Honduras,9864000,CENTRAL AMERICA,178611000
Mexico,127792000,CENTRAL AMERICA,178611000
Nicaragua,6596000,CENTRAL AMERICA,178611000
Panama,4283000,CENTRAL AMERICA,178611000
Antigua and Barbuda,98000,CARIBBEAN,43233000
Bahamas,393000,CARIBBEAN,43233000
Barbados,287000,CARIBBEAN,43233000
Cuba,11281000,CARIBBEAN,43233000
Curacao,155000,CARIBBEAN,43233000
Dominica,72000,CARIBBEAN,43233000
Dominican Republic,10500000,CARIBBEAN,43233000
Grenada,113000,CARIBBEAN,43233000
Guadeloupe,375000,CARIBBEAN,43233000
Haiti,11403000,CARIBBEAN,43233000
Jamaica,2809000,CARIBBEAN,43233000
Martinique,356000,CARIBBEAN,43233000
Puerto Rico,3189000,CARIBBEAN,43233000
St. Kitts-Nevis,54000,CARIBBEAN,43233000
Saint Lucia,182000,CARIBBEAN,43233000
St. Vincent and the Grenadines,111000,CARIBBEAN,43233000
Trinidad and Tobago,1369000,CARIBBEAN,43233000
Argentina,45377000,SOUTH AMERICA,429191000
Bolivia,11633000,SOUTH AMERICA,429191000
Brazil,211812000,SOUTH AMERICA,429191000
Chile,19470000,SOUTH AMERICA,429191000
Colombia,49444000,SOUTH AMERICA,429191000
Ecuador,17511000,SOUTH AMERICA,429191000
French Guiana,294000,SOUTH AMERICA,429191000
Guyana,787000,SOUTH AMERICA,429191000
Paraguay,7255000,SOUTH AMERICA,429191000
Peru,32824000,SOUTH AMERICA,429191000
Suriname,605000,SOUTH AMERICA,429191000
Uruguay,3531000,SOUTH AMERICA,429191000
Venezuela,28645000,SOUTH AMERICA,429191000
Armenia,2956000,WESTERN ASIA,280927000
Azerbaijan,10108000,WESTERN ASIA,280927000
Bahrain,1465000,WESTERN ASIA,280927000
Cyprus,1207000,WESTERN ASIA,280927000
Georgia,3715000,WESTERN ASIA,280927000
Iraq,39725000,WESTERN ASIA,280927000
Israel,9216000,WESTERN ASIA,280927000
Jordan,10679000,WESTERN ASIA,280927000
Kuwait,4691000,WESTERN ASIA,280927000
Lebanon,6825000,WESTERN ASIA,280927000
Oman,4713000,WESTERN ASIA,280927000
Palestinian Territory,5008000,WESTERN ASIA,280927000
Qatar,2839000,WESTERN ASIA,280927000
Saudi Arabia,35041000,WESTERN ASIA,280927000
Syria,19398000,WESTERN ASIA,280927000
Turkey,83737000,WESTERN ASIA,280927000
United Arab Emirates,9778000,WESTERN ASIA,280927000
Yemen,29826000,WESTERN ASIA,280927000
Kazakhstan,18732000,CENTRAL ASIA,74961000
Kyrgyzstan,6594000,CENTRAL ASIA,74961000
Tajikistan,9429000,CENTRAL ASIA,74961000
Turkmenistan,6031000,CENTRAL ASIA,74961000
Uzbekistan,34174000,CENTRAL ASIA,74961000
Afghanistan,38928000,SOUTH ASIA,1967131000
Bangladesh,169809000,SOUTH ASIA,1967131000
Bhutan,730000,SOUTH ASIA,1967131000
India,1400100000,SOUTH ASIA,1967131000
Iran,84150000,SOUTH ASIA,1967131000
Maldives,541000,SOUTH ASIA,1967131000
Nepal,29996000,SOUTH ASIA,1967131000
Pakistan,220940000,SOUTH ASIA,1967131000
